model,num_correct,avg_eps,avg_l2,avg_linf,avg_lpips,avg_spearman
efficientnet_b4,841,0.06005296076099881,13.24693,0.06005297,0.0,-0.01241393558809727
mixnet_s,494,0.014448805668016195,3.5935397,0.014448819,0.0,0.013927852578144287
regnetx_160,670,0.00945989552238806,2.5843053,0.009459907,0.0,0.00409055286791294
mobilevitv2_125,846,0.03583762411347518,8.461181,0.03583764,0.0,-0.003127784902858331
dpn107,686,0.015368454810495629,3.9243462,0.01536847,0.0,-0.008939875830398493
regnetx_320,688,0.011150377906976745,2.9346619,0.011150391,0.0,5.39245663895129e-05
mobilevitv2_150,863,0.04330530706836616,9.982773,0.04330532,0.0,-0.005172255803734168
swin_s3_base_224,904,0.13790397123893805,27.904634,0.13790365,0.0,-0.0045559765308214395
regnety_002,428,0.0016906775700934581,0.6110804,0.0016906902,0.0,0.016359270921958064
dpn131,681,0.01496323054331865,3.7484834,0.014963244,0.0,0.0030404455651548545
xception41,758,0.04169839050131926,9.231333,0.041698404,0.0,-0.0023810192080729866
mobilevitv2_175,863,0.04875529548088065,11.158838,0.048755307,0.0,-0.006579880141521379
swin_s3_small_224,909,0.13721476347634762,27.56412,0.13717112,0.0,0.0007566620072737829
regnety_040,870,0.11945389655172414,24.914557,0.11945392,0.0,-0.0009861376233886818
mobilevitv2_200,875,0.054040422857142854,12.380497,0.05404044,0.0,-0.00987042724471592
swin_s3_tiny_224,859,0.08037087310826542,17.567928,0.08036648,0.0,-0.004551493076815119
darknet53,838,0.056463890214797134,12.421793,0.0564639,0.0,0.0029447154149846427
lcnet_050,459,0.003062984749455338,1.103367,0.0030629977,0.0,0.011959133876690304
dla34,742,0.0037853234501347716,1.1185731,0.0037853352,0.0,-0.00037898154827498473
dla46_c,247,0.0017842914979757085,0.5571015,0.0017843042,0.0,-0.003551576408593744
deit3_base_patch16_224,913,0.10826305585980284,22.985676,0.10826306,0.0,0.006718459120667033
regnety_064,899,0.15451577308120132,31.18378,0.15450582,0.0,-0.0002722012809191966
volo_d1_224,899,0.06152875417130145,13.804031,0.06152877,0.0,0.010451648478121564
dla46x_c,249,0.002280722891566265,0.6775232,0.0022807352,0.0,0.005916547565829544
dm_nfnet_f0,857,0.07508456242707116,16.462233,0.07508458,0.0,-0.006843160035134927
coat_lite_mini,745,0.06830102013422819,15.499303,0.06830103,0.0,0.006179265567265904
cspdarknet53,842,0.04088490498812351,9.237973,0.04088492,0.0,-0.011343710666547395
lcnet_075,580,0.0048059137931034486,1.6034472,0.0048059267,0.0,0.011102825233242108
convnext_xlarge_in22ft1k,921,0.15120525515743757,29.637613,0.15119544,0.0,-0.0011920010814094651
cait_s24_224,878,0.12683905466970385,26.49129,0.12683907,0.0,0.004296443762982627
mnasnet_100,457,0.009756039387308535,2.6034675,0.009756052,0.0,0.019268738768309864
cspresnet50,859,0.04838428405122235,10.698408,0.048384298,0.0,-0.004262740571559675
deit3_base_patch16_224_in21ft1k,910,0.08557051648351648,18.499876,0.08557053,0.0,0.007191645951319392
dla60,772,0.00443229274611399,1.3241949,0.0044323057,0.0,0.007045825732035803
mixnet_xl,797,0.07301951066499372,15.888051,0.07301952,0.0,-0.005740239595969514
lcnet_100,598,0.0065812207357859535,2.13209,0.006581234,0.0,0.03326921937236859
volo_d1_384,888,0.06161558558558559,23.701674,0.0616156,0.0,0.0075755450477808925
regnety_080,897,0.1795588182831661,35.687473,0.17955104,0.0,-0.00035086759734877633
tinynet_a,727,0.026779298486932602,6.2098355,0.02677931,0.0,0.002676772512455987
mnasnet_small,479,0.005232505219206681,1.6394973,0.005232518,0.0,-0.0032405949719202516
volo_d2_224,898,0.06698422048997774,14.754402,0.06698423,0.0,0.005781975127135675
cspresnext50,896,0.07025291294642858,15.202299,0.07025293,0.0,-0.002942258865120224
coat_lite_small,865,0.1314371098265896,26.851562,0.13143712,0.0,0.009402983858222979
swin_base_patch4_window12_384,877,0.14088683010262257,46.692345,0.13991809,0.0,-0.007869809482561193
cait_xxs24_224,802,0.07038325436408976,15.210648,0.070383266,0.0,0.005544907063456451
dla60_res2net,614,0.021273501628664496,5.0916243,0.021273514,0.0,0.008367936989569506
maxvit_nano_rw_256,879,0.10594196814562003,25.773785,0.10594198,0.0,0.01670721251371792
dm_nfnet_f1,858,0.11213294871794872,23.725136,0.11213297,0.0,-0.009196161993397643
regnety_120,653,0.010851316998468604,2.815778,0.01085133,0.0,0.039172360539398904
coat_lite_tiny,718,0.03860990250696379,8.84684,0.03860992,0.0,0.022521171834358426
tinynet_b,671,0.010451356184798808,2.825955,0.010451369,0.0,0.021991961886730076
dla60_res2next,619,0.024569483037156704,5.8360667,0.024569498,0.0,0.015905088723344046
semnasnet_075,685,0.011722350364963503,3.308539,0.011722363,0.0,0.0003994407736107104
xcit_large_24_p8_224,930,0.15956260215053764,31.63547,0.15956262,0.0,0.010551654523976526
volo_d2_384,893,0.0603269764837626,23.261452,0.060304675,0.0,0.005654561698439077
volo_d3_224,906,0.07363094922737308,16.083096,0.073630966,0.0,0.00884558533645376
cait_xxs36_224,808,0.09196211633663366,19.526684,0.09196214,0.0,0.003567629455334677
regnety_160,871,0.1520875315729047,30.513216,0.15208755,0.0,0.0011618725516715485
tinynet_c,596,0.00408270134228188,1.2328514,0.0040827133,0.0,-0.0005540673529777492
dla60x,800,0.005635012500000001,1.5758809,0.005635025,0.0,0.0063806818775063575
maxvit_rmlp_small_rw_224,909,0.15341346534653466,31.302532,0.15341347,0.0,0.0006602038092508302
maxvit_rmlp_nano_rw_256,880,0.11102811363636364,26.458527,0.11094605,0.0,0.015425447087760814
swin_large_patch4_window12_384,901,0.17783501664816867,57.610252,0.17645876,0.0,-0.0020785578413019213
dla60x_c,324,0.0021201851851851855,0.68731385,0.0021201973,0.0,-0.0023999404768665212
